MS3ScanNumber	MS2ScanNumber	MS1ScanNumber	QuantScanRetTime	ParentScanRetTime	DutyCycle	MS2ScansPerCycle	ParentIonMass	MonoisotopicMass	PrecursorCharge	MS1IsolationInterference	ParentPeakFound	ParentPeakArea	PeakFirstScan	PeakMaxScan	PeakLastScan	BaseLinePeakWidth(s)	PeakParentScanIntensity	PeakMaxIntensity	MS1IonInjectionTime	MS2IonInjectionTime	MS3IonInjectionTime	HCDEnergy	MS1MedianIntensity	MS2MedianIntensity	
-1	19	18	0.137723333333333	0.130046666666667	0.658299999999999	1	432.224365234375	432.224365234375	2	1	False	0	0	0	0	0	0	0	10	100	-1	-1	5226.3466796875	20.5901584625244	
-1	23	22	0.161916666666667	0.15431	0.6549	1	442.737091064453	442.737091064453	2	0.527464295308955	True	100.138897203369	20	22	25	1.7991	6679.26611328125	6679.26611328125	10	100	-1	-1	4891.65209960938	19.7373199462891	
-1	29	28	0.201245	0.193645	0.6543	1	442.237731933594	442.237731933594	2	0.571380489972737	False	0	0	0	0	0	0	0	10	100	-1	-1	5015.33056640625	17.6030807495117	
-1	33	32	0.225515	0.2178	0.661300000000001	1	400.17041015625	400.17041015625	2	0.243175966046654	True	34859.3045841475	20	131	178	59.5267	15884.4072265625	84749.3046875	10	100	-1	-1	4875.771484375	19.6281051635742	
-1	41	40	0.28005	0.272343333333333	0.860499999999998	2	421.265930175781	421.265930175781	2	0.293305264210406	True	69733.6567099568	28	74	122	33.9216	43952.6171875	485022.53125	10	100	-1	-1	4922.326171875	20.2921257019043	
-1	42	40	0.283406666666667	0.272343333333333	0.860499999999998	2	445.7109375	445.7109375	2	0.557820348889225	False	0	0	0	0	0	0	0	10	100	-1	-1	4922.326171875	22.7334833145142	
-1	54	53	0.368226666666667	0.360543333333333	0.660099999999998	1	415.242553710938	415.242553710938	2	0.198997648614372	True	29882.426087133	46	88	134	31.8053	31824.7734375	119039.3046875	10	100	-1	-1	5294.2431640625	16.2980155944824	
-1	58	57	0.392528333333333	0.384898333333333	0.671500000000003	1	432.222991943359	432.222991943359	2	1	False	0	0	0	0	0	0	0	10	100	-1	-1	5894.46728515625	25.1740112304688	
-1	64	63	0.432216666666667	0.424596666666667	0.654400000000004	1	415.242340087891	413.266082763672	2	0.212235929495236	True	593638.581693698	1	416	721	282.3842	49546.15234375	342451.90625	10	100	-1	-1	5131.98901367188	16.7016429901123	
-1	68	67	0.456505	0.44892	0.653100000000002	1	442.234832763672	442.234832763672	2	0.257296376919375	True	20033.3359698263	1	80	103	39.5233	56840.1953125	92433.03125	10	100	-1	-1	5286.33740234375	23.8948040008545	
-1	73	72	0.488406666666667	0.480726666666667	0.657300000000003	1	400.169342041016	400.169342041016	2	0.150937192316603	True	34859.3045841475	20	131	178	59.5267	52421.71484375	84749.3046875	10	100	-1	-1	6224.15283203125	22.8052806854248	
